"","bin","meanr2"
"205",205,0.0709026683025961
"206",206,0.0718886235035091
"207",207,0.0738393980281317
"208",208,0.0706681381239201
"209",209,0.0708854322919634
"210",210,0.0693985895038435
"211",211,0.0718387704975347
"212",212,0.075344012938879
"213",213,0.070431981610422
"214",214,0.0685420771420125
"215",215,0.0714757644395445
"216",216,0.0740387170823954
"217",217,0.0740375500403935
"218",218,0.0729570881321823
"219",219,0.0725082405010611
"220",220,0.0704012362491816
"221",221,0.0702483079558472
"222",222,0.0706818361087335
"223",223,0.0715806533006853
"224",224,0.070127254936021
"225",225,0.0700397832376846
"226",226,0.0693194837376711
"227",227,0.0707869805388441
"228",228,0.0710244125860385
"229",229,0.0689149273262467
"230",230,0.0686408038188034
"231",231,0.0711974595576352
"232",232,0.0728684901628865
"233",233,0.0700558195206429
